,Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
249,India,1219.0794080127375,1.2195121951219512,62,4980.0,5084,2021-04-01
250,India,1675.7015648347033,0.7993268826251577,7220,887898.0,903260,2021-04-01
251,India,1072.6170327382204,0.3324428613831998,56,16785.0,16845,2021-04-01
252,India,613.558459606821,0.5067057261866618,1107,215479.0,218470,2021-04-01
253,India,213.1531712606945,0.5931996315997218,1578,262529.0,266015,2021-04-01
254,India,2352.752286846565,1.3941884355738186,380,23925.0,27256,2021-04-01
255,India,1201.9337665885282,1.18822851070084,4204,320613.0,353804,2021-04-01
256,India,598.1576160747347,0.054303556882975834,2,3490.0,3683,2021-04-01
257,India,3555.2497092339972,1.6590000300652417,11036,643686.0,665220,2021-04-01
258,India,3675.5870764381402,1.425288144895719,831,55757.0,58304,2021-04-01
259,India,485.5117466309665,1.460136468585138,4528,292584.0,310108,2021-04-01
260,India,1036.7388518194066,1.0820460382546364,3164,278883.0,292409,2021-04-01
261,India,859.0229007018962,1.6433905083263036,1052,59741.0,64014,2021-04-01
262,India,965.8820312913409,1.5203049740908987,1998,126549.0,131421,2021-04-01
263,India,323.60255032732067,0.8919778046456508,1114,120425.0,124891,2021-04-01
264,India,1481.939305965426,1.2569439034475318,12585,957769.0,1001238,2021-04-01
265,India,3157.9820447058514,0.4108633985641069,4632,1096239.0,1127382,2021-04-01
266,India,3709.5909788580657,1.2776412776412776,130,9778.0,10175,2021-04-01
267,India,1126.821772804172,0.13774104683195593,1,688.0,726,2021-04-01
268,India,349.1806630973091,1.3413541705110097,3998,276002.0,298057,2021-04-01
269,India,2319.364181623039,1.9220891804844469,54898,2433368.0,2856163,2021-04-01
270,India,951.0131665558806,1.2720655760008164,374,28963.0,29401,2021-04-01
271,India,417.8263052059726,1.0663254425250586,150,13867.0,14067,2021-04-01
272,India,361.8335049433365,0.24531668153434436,11,4436.0,4484,2021-04-01
273,India,548.7410515647676,0.745240988254354,92,12138.0,12345,2021-04-01
274,India,736.2769454547463,0.5628297945275716,1921,337212.0,341311,2021-04-01
275,India,2952.016989944409,1.6367906441717792,683,39755.0,41728,2021-04-01
276,India,805.8524739400557,2.8514378640976554,6926,211325.0,242895,2021-04-01
277,India,412.7951375277698,0.8436497568004687,2822,322114.0,334499,2021-04-01
278,India,904.1638476438279,2.1631148854350264,135,6060.0,6241,2021-04-01
279,India,1142.697227680017,1.4320565717433589,12738,859709.0,889490,2021-04-01
280,India,786.8889791491098,0.55078275074982,1706,301876.0,309741,2021-04-01
281,India,803.9006243473897,1.1694161868679336,392,33070.0,33521,2021-04-01
282,India,,,0,0.0,0,2021-04-01
283,India,260.5414075360033,1.4230787227142403,8820,599045.0,619783,2021-04-01
284,India,896.9182617005741,1.7034812854891934,1719,96956.0,100911,2021-04-01
285,India,590.4960503538508,1.7564082293276482,10331,571345.0,588189,2021-04-01
