Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,1268.2358357551866,1.191151446398185,63,5110.0,5289,2021-04-16
India,1759.1304502853836,0.7775531489689749,7373,905266.0,948231,2021-04-16
India,1079.175629020324,0.3304224687278735,56,16800.0,16948,2021-04-16
India,626.1121572057705,0.5055171795101822,1127,216397.0,222940,2021-04-16
India,246.44004997246552,0.5488413529849752,1688,272403.0,307557,2021-04-16
India,2838.0462902458667,1.240951396070321,408,29047.0,32878,2021-04-16
India,1754.3414440523993,1.0805325980031448,5580,386529.0,516412,2021-04-16
India,760.2432258609377,0.0854518265327921,4,3798.0,4681,2021-04-16
India,4294.94067689449,1.4674791537823084,11793,730825.0,803623,2021-04-16
India,4129.172576832151,1.3252110719247625,868,58310.0,65499,2021-04-16
India,602.2757967803902,1.343946262945556,5170,329781.0,384688,2021-04-16
India,1212.837211624222,0.9804810028151556,3354,304906.0,342077,2021-04-16
India,995.6447670443528,1.5742300694116855,1168,65316.0,74195,2021-04-16
India,1058.486056479636,1.422014845057318,2048,131353.0,144021,2021-04-16
India,401.915346934706,0.8870837765528802,1376,130694.0,155115,2021-04-16
India,1664.3935677749698,1.1729563747377745,13190,1003985.0,1124509,2021-04-16
India,3381.9351187075945,0.4039485410806638,4877,1132267.0,1207332,2021-04-16
India,4268.855112673129,1.1273379451703818,132,10214.0,11709,2021-04-16
India,1466.7308199723727,0.1058201058201058,1,765.0,945,2021-04-16
India,450.5244411058639,1.1506567194451884,4425,320955.0,384563,2021-04-16
India,3007.517453742024,1.6079289682642544,59551,3004391.0,3703584,2021-04-16
India,957.773540414259,1.2698412698412698,376,29069.0,29610,2021-04-16
India,436.717151165381,1.0338026253145616,152,13986.0,14703,2021-04-16
India,388.0591715594346,0.2495321272613849,12,4482.0,4809,2021-04-16
India,555.80867628723,0.7517594369801663,94,12271.0,12504,2021-04-16
India,779.7208467779182,0.5361737446396458,1938,343522.0,361450,2021-04-16
India,3282.039019710769,1.5131593128273662,702,42115.0,46393,2021-04-16
India,964.4782936729524,2.673482234689911,7772,252190.0,290707,2021-04-16
India,487.83892633749326,0.7771135997409622,3072,338424.0,395309,2021-04-16
India,944.4390518811272,2.0862095413406965,136,6142.0,6519,2021-04-16
India,1247.9036344565152,1.3415909671149615,13032,896759.0,971384,2021-04-16
India,879.8449253979627,0.522332681740878,1809,311008.0,346331,2021-04-16
India,813.7812083762411,1.1611116022750714,394,33156.0,33933,2021-04-16
India,,,0,0.0,0,2021-04-16
India,333.6602100888158,1.207352718842917,9583,633461.0,793720,2021-04-16
India,1054.5506840456078,1.5331321747045834,1819,103281.0,118646,2021-04-16
India,646.3201534499243,1.631885926420677,10506,592242.0,643795,2021-04-16
