Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,999.4341016123308,1.343570057581574,56,3913,4168,2020-10-21
India,1471.7051299535078,0.8203716379322299,6508,754415,793299,2020-10-21
India,885.8562279284132,0.2228292121909143,31,11199,13912,2020-10-21
India,569.4772879036642,0.4384191267124976,889,176078,202774,2020-10-21
India,166.96884900396495,0.4890175019315951,1019,196240,208377,2020-10-21
India,1190.7916714502626,1.5150416817687569,209,12842,13795,2020-10-21
India,569.4988600952344,0.9711344018993192,1628,140216,167639,2020-10-21
India,520.8502510865258,0.062363579669473,2,3161,3207,2020-10-21
India,1819.4506930230373,1.8000446486270547,6128,310191,340436,2020-10-21
India,2606.0835303388494,1.3473959215268874,557,37683,41339,2020-10-21
India,254.9191866114188,2.247839678669476,3660,144970,162823,2020-10-21
India,543.764136832269,1.0914994751152465,1674,141506,153367,2020-10-21
India,263.3000333469539,1.4219458743183324,279,16706,19621,2020-10-21
India,658.385220985542,1.5650465495300394,1402,80092,89582,2020-10-21
India,254.0838786433562,0.867827168803092,851,91004,98061,2020-10-21
India,1158.5877447205105,1.366424237933603,10696,671618,782773,2020-10-21
India,1013.5760381471498,0.3404810400148131,1232,267082,361841,2020-10-21
India,2107.631002336951,1.1762670818197545,68,4865,5781,2020-10-21
India,0.0,,0,0,0,2020-10-21
India,191.3050374966473,1.7318244170096022,2828,148082,163296,2020-10-21
India,1313.6288171634328,2.6354767200483664,42633,1415679,1617658,2020-10-21
India,526.1770409293734,0.762279461486445,124,12297,16267,2020-10-21
India,256.0660110315412,0.8931678459575455,77,6674,8621,2020-10-21
India,188.90549399472584,0.0,0,2174,2341,2020-10-21
India,361.7823749441591,0.3440226071999017,28,6428,8139,2020-10-21
India,591.4639410441731,0.4307373596273994,1181,254913,274181,2020-10-21
India,2378.563919572252,1.7250609719826304,580,29016,33622,2020-10-21
India,428.2751154036679,3.14514129895885,4060,120220,129088,2020-10-21
India,220.8158240929164,0.999256705023668,1788,157960,178933,2020-10-21
India,532.7047697142054,1.7133532771280937,63,3361,3677,2020-10-21
India,895.5609625418867,1.5463710487207294,10780,650856,697116,2020-10-21
India,578.1610890219713,0.5677124527638633,1292,206105,227580,2020-10-21
India,717.6613520955711,1.116123642439432,334,27252,29925,2020-10-21
India,,,0,0,0,2020-10-21
India,193.9926491089254,1.4637846037163442,6755,425356,461475,2020-10-21
India,525.3466002326222,1.6242005887727131,960,53061,59106,2020-10-21
India,334.43261820635365,1.87436585556216,6244,291303,333126,2020-10-21
