Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,35.24875550312203,0.0,0,75,147,2020-07-07
India,39.32405516662003,1.188847478416757,252,9745,21197,2020-07-07
India,17.574491008355526,0.7246376811594203,2,105,276,2020-07-07
India,35.16720387786246,0.1118032263216738,14,8329,12522,2020-07-07
India,10.07212135686683,0.8273667462211615,104,9284,12570,2020-07-07
India,42.64234039118737,1.417004048582996,7,401,494,2020-07-07
India,11.601349371120234,0.4099560761346998,14,2751,3415,2020-07-07
India,65.77622441223666,0.0,0,183,405,2020-07-07
India,549.5774072490923,3.077865624179479,3165,74217,102831,2020-07-07
India,119.96847911741528,0.420388859695218,8,1156,1903,2020-07-07
India,58.78908666010807,5.264980026631158,1977,26720,37550,2020-07-07
India,63.81562330125782,1.5500861158953274,279,13645,17999,2020-07-07
India,14.533099032401564,1.0156971375807942,11,790,1083,2020-07-07
India,65.63861499656042,1.6011644832605532,143,5399,8931,2020-07-07
India,7.762875153378968,0.7343124165554072,22,2104,2996,2020-07-07
India,39.68906742399199,1.5513705015849335,416,11098,26815,2020-07-07
India,16.510061515525607,0.4580929759077027,27,3452,5894,2020-07-07
India,379.5267035863633,0.0960614793467819,1,836,1041,2020-07-07
India,18.307391613757265,3.98029052281308,622,11768,15627,2020-07-07
India,176.31440169142158,4.260297253605133,9250,118558,217121,2020-07-07
India,46.2551895573249,0.0,0,771,1430,2020-07-07
India,2.3762070389193006,1.25,1,43,80,2020-07-07
India,15.896788687296448,0.0,0,133,197,2020-07-07
India,27.781543720370983,0.0,0,243,625,2020-07-07
India,21.781273730575847,0.4159651381598495,42,6703,10097,2020-07-07
India,65.79217313670199,1.5053763440860215,14,434,930,2020-07-07
India,22.39114986566803,2.592976737294414,175,4554,6749,2020-07-07
India,26.414031502767976,2.205195290599888,472,16575,21404,2020-07-07
India,18.109354423246035,0.0,0,70,125,2020-07-07
India,152.3536352510809,1.3794964332091,1636,71116,118594,2020-07-07
India,70.14757004163228,1.1335651166159642,313,16287,27612,2020-07-07
India,40.86532811932676,0.0586854460093896,1,1248,1704,2020-07-07
India,,0.0,0,0,5018,2020-07-07
India,12.597804233157325,2.75961025093433,827,19627,29968,2020-07-07
India,28.708921577358808,1.3312693498452013,43,2621,3230,2020-07-07
India,23.930495728897927,3.3729076645551035,804,15790,23837,2020-07-07
