,Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
246,India,1087.675884096337,1.3447971781305117,61,4330,4536,2020-11-15
247,India,1584.3362587583304,0.8042050980607978,6868,828484,854011,2020-11-15
248,India,1006.8400428410056,0.30356691120667845,48,14500,15812,2020-11-15
249,India,590.523688307809,0.4579869499876349,963,205639,210268,2020-11-15
250,India,181.01052399662478,0.5241233991881399,1184,219263,225901,2020-11-15
251,India,1364.209610409565,1.569222981523665,248,14468,15804,2020-11-15
252,India,715.2206408490273,1.2245053055563473,2578,188869,210534,2020-11-15
253,India,534.4927272609156,0.06077180188392585,2,3267,3291,2020-11-15
254,India,2594.233464283588,1.5685870561695905,7614,437801,485405,2020-11-15
255,India,2893.806146572104,1.4421715356294795,662,43656,45903,2020-11-15
256,India,294.8221813306245,2.0195422441718445,3803,171932,188310,2020-11-15
257,India,708.6551414920607,1.0101363859231316,2019,178298,199874,2020-11-15
258,India,398.7275822250671,1.4875643657658264,442,22392,29713,2020-11-15
259,India,754.2009889521927,1.548446194174568,1589,95342,102619,2020-11-15
260,India,274.8202904766312,0.8711721224920802,924,102188,106064,2020-11-15
261,India,1275.3296989998296,1.3380189335075734,11529,822953,861647,2020-11-15
262,India,1470.6055777957095,0.35600135619564266,1869,448207,524998,2020-11-15
263,India,2696.4260323964872,1.2033531638723634,89,6385,7396,2020-11-15
264,India,0.0,,0,0,0,2020-11-15
265,India,215.4747307444508,1.6800143535206902,3090,171691,183927,2020-11-15
266,India,1418.8582764454975,2.6312325367636538,45974,1615379,1747242,2020-11-15
267,India,707.4456299358411,1.0104704860317315,221,18593,21871,2020-11-15
268,India,316.7781008759293,0.9376465072667604,100,9594,10665,2020-11-15
269,India,274.0380425485215,0.11778563015312132,4,2876,3396,2020-11-15
270,India,439.3928954813875,0.5260495700556399,52,8913,9885,2020-11-15
271,India,665.8399691399238,0.4947207112055699,1527,297862,308659,2020-11-15
272,India,2569.7149430296377,1.6738244686708512,608,34732,36324,2020-11-15
273,India,469.97859055723836,3.147016052746756,4458,131431,141658,2020-11-15
274,India,278.6739558895793,0.9149001182373336,2066,205414,225817,2020-11-15
275,India,651.6470095660853,1.97865718096932,89,4125,4498,2020-11-15
276,India,974.0219156504736,1.5138665586903564,11478,730272,758191,2020-11-15
277,India,655.1272914695048,0.5456110688858211,1407,242084,257876,2020-11-15
278,India,766.512686238217,1.1388523872098115,364,30555,31962,2020-11-15
279,India,,,0,0,0,2020-11-15
280,India,214.93952534804703,1.4418037019072802,7372,480965,511304,2020-11-15
281,India,606.30931436518,1.622810232353588,1107,62543,68215,2020-11-15
282,India,433.2436700214637,1.775224712722251,7661,394576,431551,2020-11-15
