Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,36.2079053127308,0.0,0,83,151,2020-07-09
India,44.17903711553001,1.1631813219114806,277,12154,23814,2020-07-09
India,19.23005900189626,0.6622516556291391,2,120,302,2020-07-09
India,39.40793841352549,0.1567844925883694,22,8726,14032,2020-07-09
India,11.173083548142488,0.8247274813539873,115,9816,13944,2020-07-09
India,45.145635677309706,1.338432122370937,7,403,523,2020-07-09
India,12.48461462338708,0.4081632653061224,15,2903,3675,2020-07-09
India,66.75068699612164,0.0,0,189,411,2020-07-09
India,572.1310793770613,3.043409216167994,3258,82226,107051,2020-07-09
India,135.60283687943263,0.4184100418410041,9,1273,2151,2020-07-09
India,61.362968376998026,5.123233147930805,2008,27718,39194,2020-07-09
India,68.67297114962291,1.4817491868449584,287,14510,19369,2020-07-09
India,15.297998981475333,0.9649122807017544,11,846,1140,2020-07-09
India,69.82784470745948,1.6208820124197454,154,5695,9501,2020-07-09
India,8.410645109435292,0.7085643869377696,23,2208,3246,2020-07-09
India,46.03872616905728,1.5624497669185018,486,12833,31105,2020-07-09
India,18.30280657320059,0.4132231404958678,27,3708,6534,2020-07-09
India,384.6308091100992,0.0947867298578199,1,915,1055,2020-07-09
India,19.1438591130996,3.879811517043021,634,12232,16341,2020-07-09
India,187.25929189548745,4.192125724742952,9667,127259,230599,2020-07-09
India,46.90211528539937,0.0,0,799,1450,2020-07-09
India,3.3563924424735125,1.7699115044247788,2,66,113,2020-07-09
India,15.896788687296448,0.0,0,133,197,2020-07-09
India,29.91516627809548,0.0,0,304,673,2020-07-09
India,24.162825300206013,0.4642442639050085,52,7407,11201,2020-07-09
India,81.42665729069245,1.2163336229365769,14,584,1151,2020-07-09
India,23.68837013496366,2.563025210084034,183,4945,7140,2020-07-09
India,27.844318482384317,2.176129060851837,491,17070,22563,2020-07-09
India,19.41322794171975,0.0,0,72,134,2020-07-09
India,162.6142596060262,1.394364083077239,1765,78161,126581,2020-07-09
India,78.61751059352281,1.0696051185936792,331,18192,30946,2020-07-09
India,42.592032124368735,0.0563063063063063,1,1338,1776,2020-07-09
India,,0.0,0,0,4161,2020-07-09
India,13.604182481094416,2.663617823373092,862,21127,32362,2020-07-09
India,29.37553740345848,1.3918305597579426,46,2672,3305,2020-07-09
India,26.01263056724732,3.2958974952722784,854,16826,25911,2020-07-09
