Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,916.2278556287706,1.3870714472651138,53,3608,3835,2020-09-30
India,1275.1534954395172,0.8409095207543162,5828,629211,693484,2020-09-30
India,608.2938862421026,0.1674866534073066,16,6890,9796,2020-09-30
India,497.7133875130701,0.383701705779789,697,145618,180811,2020-09-30
India,145.26050279869557,0.4931461510880657,904,169732,182728,2020-09-30
India,1019.96334830419,1.3371699390656735,162,9813,11938,2020-09-30
India,375.9142941907203,0.8277981112466676,957,81718,113602,2020-09-30
India,492.4284257232137,0.0659630606860158,2,2929,3040,2020-09-30
India,1476.8112442561624,1.925269157694744,5361,247446,279715,2020-09-30
India,2066.319936958235,1.2783354181285658,428,28125,33418,2020-09-30
India,212.67715339766715,2.5316176145816462,3450,117099,137232,2020-09-30
India,450.1875078089844,1.0679351678296345,1382,112877,128599,2020-09-30
India,197.8943780524708,1.2409303587170273,186,11390,14976,2020-09-30
India,544.5631147878339,1.5709562048721235,1181,56872,75070,2020-09-30
India,213.86772869155547,0.848073661255149,713,71342,83651,2020-09-30
India,877.5716820968307,1.480323353757984,8864,485268,601767,2020-09-30
India,524.5908178455334,0.3839253294602618,742,128224,196106,2020-09-30
India,1529.4087622908685,1.3825983313468415,58,3147,4269,2020-09-30
India,0.0,,0,0,0,2020-09-30
India,147.66228714230544,1.8096998643320137,2316,104734,128047,2020-09-30
India,1109.3731940636792,2.6484321758779736,36662,1088322,1384446,2020-09-30
India,347.5931936944149,0.6048762330169365,67,8460,10983,2020-09-30
India,162.26523817020177,0.8603331502837269,49,3975,5639,2020-09-30
India,160.2589966140647,0.0,0,1597,2017,2020-09-30
India,268.4808385136652,0.2814569536423841,17,5066,6163,2020-09-30
India,465.2568082713357,0.3839091971290269,842,185700,219119,2020-09-30
India,1914.7644710945972,1.9101455700879333,521,22074,27544,2020-09-30
India,373.1084181201699,2.986839765249867,3406,93666,113886,2020-09-30
India,164.27814705741778,1.105026329825194,1486,113225,135292,2020-09-30
India,425.4973915285889,1.191692202928158,37,2303,3012,2020-09-30
India,760.4488246574917,1.596944300380273,9520,541819,597602,2020-09-30
India,486.2111705051367,0.5888622992277387,1135,163407,193600,2020-09-30
India,617.1527898020861,1.0763969845340795,283,20092,26066,2020-09-30
India,,,0,0,0,2020-09-30
India,165.9876731275884,1.447363089328768,5784,342415,399082,2020-09-30
India,426.5896876487109,1.2313782685696426,611,39278,49000,2020-09-30
India,254.76335277639683,1.93050345197188,4958,225759,257049,2020-09-30
