Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,1197.4985372965402,1.2414897877452944,62,4932,4994,2021-02-01
India,1647.20614155031,0.8057213650185832,7154,879504,887900,2021-02-01
India,1071.534545973213,0.3327787021630615,56,16762,16828,2021-02-01
India,609.8625611638194,0.4987244075632961,1083,214248,217154,2021-02-01
India,208.06102080541297,0.5788338596626358,1503,257306,259660,2021-02-01
India,1809.019286595372,1.5937395619602042,334,20447,20957,2021-02-01
India,1038.478737308455,1.2123432639054723,3706,297859,305689,2021-02-01
India,551.8706433401978,0.0588581518540317,2,3391,3398,2021-02-01
India,3394.89951377062,1.7090222711293936,10856,623096,635217,2021-02-01
India,3370.780141843972,1.4363462941143466,768,51977,53469,2021-02-01
India,409.9391976806758,1.6758453700379623,4388,254109,261838,2021-02-01
India,950.1575127996434,1.1276582247778826,3022,263886,267989,2021-02-01
India,772.4281748883346,1.7008043640659474,979,56204,57561,2021-02-01
India,915.383439460486,1.5543958249698917,1936,121905,124550,2021-02-01
India,307.6492718495656,0.90370070914818,1073,117148,118734,2021-02-01
India,1390.9674935066969,1.3003112447128302,12220,921592,939775,2021-02-01
India,2612.469331804421,0.4031579274680288,3760,859421,932637,2021-02-01
India,3545.165865200573,1.3368983957219251,130,9526,9724,2021-02-01
India,153.65751447329615,0.0,0,56,99,2021-02-01
India,299.04650319975184,1.4933617484711843,3812,248897,255263,2021-02-01
India,1647.1312665637593,2.51973651451157,51109,1932294,2028347,2021-02-01
India,940.3712383290556,1.2761419922949917,371,28562,29072,2021-02-01
India,408.82642104606566,1.0607381575123511,146,13556,13764,2021-02-01
India,352.8764311144537,0.2058083695403613,9,4333,4373,2021-02-01
India,537.8062359564296,0.7273328374245805,88,11957,12099,2021-02-01
India,722.9885780010127,0.5686988849802029,1906,332239,335151,2021-02-01
India,2765.8180655403235,1.6651319828115407,651,38160,39096,2021-02-01
India,575.5212279148664,3.2374473972444804,5616,165753,173470,2021-02-01
India,391.9245478821516,0.8709424504151618,2766,312873,317587,2021-02-01
India,882.4326223359328,2.216384830077163,135,5874,6091,2021-02-01
India,1077.6314830538408,1.4738174769503674,12363,821947,838842,2021-02-01
India,748.7767871396733,0.5435317348569412,1602,291115,294739,2021-02-01
India,799.8236843354853,1.1723786393211597,391,32943,33351,2021-02-01
India,,,0,0,0,2021-02-01
India,252.4227011440196,1.4425366796009793,8662,586505,600470,2021-02-01
India,854.8681353902077,1.7134539405281763,1648,93451,96180,2021-02-01
India,572.4134019891696,1.7852351112023108,10179,554578,570177,2021-02-01
